,bw
4,427.17157000000003
11,427.17157000000003
18,421.83205999999996
25,421.83205999999996
32,418.20386
39,421.2441
46,421.2441
53,421.2441
60,428.4433
67,452.06702
74,452.06702
81,452.06702
88,468.85983
95,468.85983
102,496.92565999999994
109,458.9014
116,458.9014
123,456.43427
130,474.2005
137,474.2005
144,471.95297
151,479.55355999999995
158,479.55355999999995
165,514.23224
172,514.23224
179,533.62726
186,530.7049
193,530.7049
200,546.4888
207,532.58405
214,532.58405
221,520.8524
228,525.9486
235,525.9486
242,534.0606
249,534.0606
256,515.3811599999999
263,502.66962
270,502.66962
277,535.4861
284,549.9666
291,549.9666
298,583.4316
305,583.4316
312,553.2388
319,556.6346
326,556.6346
333,533.6664
340,525.6489
347,525.6489
354,547.74243
361,547.74243
368,570.4315
375,592.76495
382,592.76495
389,569.81537
396,561.4933
403,561.4933
410,549.0897
417,545.7235
424,545.7235
431,599.7588
438,585.8695
445,585.8695
452,590.55255
459,590.55255
466,564.04877
473,588.6986
480,588.6986
487,600.0387599999999
494,621.4854
501,621.4854
508,601.29553
515,601.29553
522,612.64343
529,612.64343
536,647.68787
543,645.88214
550,645.88214
557,660.4894
564,660.4894
571,648.34717
578,662.2458
585,662.2458
592,681.8123
599,661.44464
606,661.44464
613,673.803
620,639.1921
627,639.1921
634,636.50525
641,636.50525
648,607.49774
655,627.5155599999999
662,627.5155599999999
669,616.2804
676,612.88574
683,612.88574
690,595.1686
697,570.71765
704,570.71765
711,549.06555
718,549.06555
725,586.3638
732,581.4724
739,581.4724
746,605.3688400000001
753,588.0747
760,588.0747
767,615.12396
774,640.341
781,640.341
788,643.60156
795,667.684
802,667.684
809,653.56476
816,653.56476
823,698.79016
830,715.5007
837,715.5007
844,688.3263
851,660.4281
858,660.4281
865,700.71405
872,700.71405
879,747.5939999999999
886,763.81683
893,763.81683
900,705.7378
907,702.9223
914,702.9223
921,751.6886599999999
928,751.6886599999999
935,713.6948
942,761.39716
949,761.39716
956,755.95807
963,755.95807
970,737.33
977,749.7030599999999
984,749.7030599999999
991,744.6698
998,763.06287
1005,763.06287
1012,732.04297
1019,694.75665
1026,694.75665
1033,686.2473
1040,686.2473
1047,713.2536
1054,758.5677
1061,758.5677
1068,764.89355
1075,729.51935
1082,729.51935
1089,741.8211
1096,661.07947
1103,661.07947
1110,703.6283
1117,703.6283
1124,722.66833
1131,711.1641
1138,711.1641
1145,716.3608
1152,721.0419999999999
1159,721.0419999999999
1166,747.5179400000001
1173,772.16565
1180,772.16565
1187,781.8937400000001
1194,781.8937400000001
1201,799.1016
1208,859.80695
1215,859.80695
1222,893.7897
1229,831.3966
1236,831.3966
1243,830.05524
1250,783.3573
1257,783.3573
1264,822.5088
1271,822.5088
1278,809.5017
1285,851.0032
1292,851.0032
1299,865.1482
1306,888.9845
1313,888.9845
1320,890.7381
1327,890.1753
1334,890.1753
1341,925.3482
1348,951.48035
1355,951.48035
1362,926.53534
1369,926.53534
1376,949.7957
1383,963.2385
1390,963.2385
1397,973.02295
1404,980.00256
1411,980.00256
1418,950.9246
1425,954.6395
1432,954.6395
1439,986.1102
1446,962.4232
1453,962.4232
1460,939.13947
1467,972.2130000000001
1474,972.2130000000001
1481,967.5574300000001
1488,981.7914
1495,981.7914
1502,963.0103
1509,974.60095
1516,974.60095
1523,1001.1494
1530,1011.1194
1537,1011.1194
1544,964.8067599999999
1551,992.5244
1558,992.5244
1565,999.3778
1572,1006.8354
1579,1006.8354
1586,1017.503
1593,1057.2865
1600,1057.2865
1607,1044.9784
1614,1049.5942
1621,1049.5942
1628,1035.6816
1635,1030.6196
1642,1030.6196
1649,1089.306
1656,1095.2103
1663,1095.2103
1670,1068.771
1677,1092.6685
1684,1092.6685
1691,1090.1809
1698,1086.1525
1705,1086.1525
1712,1146.4896
1719,1156.5118
1726,1156.5118
1733,1201.4938
1740,1170.2977
1747,1170.2977
1754,1191.2572
1761,1158.3573
1768,1158.3573
1775,1186.2772
1782,1212.7678
1789,1212.7678
1796,1254.7539
1803,1205.9448
1810,1205.9448
1817,1198.2229
1824,1216.2716
1831,1216.2716
1838,1221.2474
1845,1249.7831
1852,1249.7831
1859,1250.9083
1866,1212.9899
1873,1212.9899
1880,1269.6055
1887,1270.7251
1894,1270.7251
1901,1271.0896
1908,1303.4601
1915,1303.4601
1922,1343.5593
1929,1238.4474
1936,1238.4474
1943,1213.8098
1950,1202.8105
1957,1202.8105
1964,1233.0748
1971,1232.143
1978,1232.143
1985,1246.1915
1992,1233.7875
1999,1233.7875
2006,1282.8333
2013,1248.6877
2020,1248.6877
2027,1287.922
2034,1257.4272
2041,1257.4272
2048,1267.4092
2055,1293.0624
2062,1293.0624
2069,1271.2557
